enemy_unit_type,odds_of_victory,planet,population,size_of_force,universe
scout,0.4752537298000047,Korhal,6.7,68000,Zendikar
zealot,0.7064913762308193,Eos,8.5,3000,Mirrodin
zealot,0.4356704496567073,Kamigawa,3.4,4000,Dominaria
negator,0.8267919047900777,Kamigawa,3.4,9000,Dominaria
drone,0.39950520116541155,Aiur,5.1,1000,Zendikar
scout,0.25893996044698075,Aiur,5.1,11000,Zendikar
mecha,0.841845626395324,Kamigawa,3.4,67000,Dominaria
zealot,0.17679536849668254,Kamigawa,3.4,72000,Dominaria
negator,0.055825339517945105,Ravnica,7.3,65000,Dominaria
battleship,0.48877492501424,Gaia,6.7,3000,Mirrodin
tank,0.505062979292272,Korhal,6.7,52000,Zendikar
tank,0.9351239388043878,Korhal,6.7,76000,Zendikar
tank,0.07672673144786424,Gaia,6.7,76000,Mirrodin
tank,0.6595867647345174,Aiur,5.1,84000,Zendikar
negator,0.9404368065447112,Gaia,6.7,39000,Mirrodin
negator,0.9390265783198298,Eos,8.5,62000,Mirrodin
battleship,0.29737314500115775,Aiur,5.1,62000,Zendikar
negator,0.23977407256123517,Gaia,6.7,32000,Mirrodin
drone,0.8324936077711502,Korhal,6.7,49000,Zendikar
zealot,0.1974347785511258,Gaia,6.7,23000,Mirrodin
overlord,0.929374424182452,Gaia,6.7,16000,Mirrodin
dreadnought,0.5794147176924075,Eos,8.5,20000,Mirrodin
mecha,0.7123327117374388,Kamigawa,3.4,27000,Dominaria
battleship,0.48355228122885907,Ravnica,7.3,42000,Dominaria
dreadnought,0.10222552593611511,Eos,8.5,36000,Mirrodin
mecha,0.35463207147612885,Kamigawa,3.4,32000,Dominaria
zealot,0.9903052367271228,Ravnica,7.3,52000,Dominaria
zealot,0.9095596238500887,Gaia,6.7,40000,Mirrodin
zealot,0.05392408802277304,Kamigawa,3.4,22000,Dominaria
battleship,0.24475718813080816,Korhal,6.7,43000,Zendikar
zealot,0.8630856157256691,Kamigawa,3.4,66000,Dominaria
drone,0.24606172005529492,Korhal,6.7,73000,Zendikar
battleship,0.3111925048222516,Aiur,5.1,44000,Zendikar
drone,0.37331005475976997,Gaia,6.7,16000,Mirrodin
battleship,0.7955877448756816,Ravnica,7.3,62000,Dominaria
mecha,0.6925101126675973,Eos,8.5,61000,Mirrodin
negator,0.7776402204405881,Aiur,5.1,32000,Zendikar
negator,0.5892270415640293,Eos,8.5,90000,Mirrodin
battleship,0.0020702679414803526,Eos,8.5,46000,Mirrodin
dreadnought,0.27969024342699944,Korhal,6.7,23000,Zendikar
drone,0.7050397130685208,Eos,8.5,48000,Mirrodin
dreadnought,0.889863009932948,Eos,8.5,37000,Mirrodin
scout,0.5787714242889793,Korhal,6.7,88000,Zendikar
tank,0.12580452989159197,Kamigawa,3.4,46000,Dominaria
drone,0.18891502563225593,Eos,8.5,11000,Mirrodin
mecha,0.5185513491619602,Ravnica,7.3,59000,Dominaria
tank,0.873822765740778,Ravnica,7.3,65000,Dominaria
negator,0.74996773080634,Gaia,6.7,73000,Mirrodin
dreadnought,0.049083899494296035,Ravnica,7.3,62000,Dominaria
drone,0.38687739365662743,Aiur,5.1,94000,Zendikar
dreadnought,0.45001804544758617,Ravnica,7.3,40000,Dominaria
drone,0.2395969937836342,Gaia,6.7,2000,Mirrodin
overlord,0.5084547167754268,Korhal,6.7,64000,Zendikar
negator,0.24962262033896898,Gaia,6.7,22000,Mirrodin
mecha,0.14299990925710548,Ravnica,7.3,41000,Dominaria
scout,0.8480140981522499,Kamigawa,3.4,54000,Dominaria
drone,0.9573589502006792,Ravnica,7.3,46000,Dominaria
dreadnought,0.41714743556534495,Aiur,5.1,67000,Zendikar
overlord,0.04627406675540924,Kamigawa,3.4,81000,Dominaria
scout,0.9529184023444739,Korhal,6.7,54000,Zendikar
dreadnought,0.7504273627608496,Kamigawa,3.4,26000,Dominaria
zealot,0.9759236656799294,Ravnica,7.3,15000,Dominaria
scout,0.16576046549698742,Gaia,6.7,32000,Mirrodin
overlord,0.3754879189230318,Eos,8.5,38000,Mirrodin
dreadnought,0.7801327937100688,Ravnica,7.3,24000,Dominaria
drone,0.06464117860791418,Eos,8.5,41000,Mirrodin
zealot,0.5254578066883246,Gaia,6.7,39000,Mirrodin
dreadnought,0.9749217341174511,Eos,8.5,79000,Mirrodin
mecha,0.27686790978394016,Korhal,6.7,10000,Zendikar
overlord,0.5413674702236907,Gaia,6.7,62000,Mirrodin
scout,0.00020711210107704492,Korhal,6.7,7000,Zendikar
mecha,0.2838347877515447,Eos,8.5,32000,Mirrodin
battleship,0.2672679553479088,Gaia,6.7,68000,Mirrodin
dreadnought,0.31218990598900476,Aiur,5.1,34000,Zendikar
negator,0.9973017377507735,Gaia,6.7,48000,Mirrodin
mecha,0.6815105891325787,Korhal,6.7,45000,Zendikar
scout,0.7937436197544476,Gaia,6.7,19000,Mirrodin
dreadnought,0.12341550638035681,Eos,8.5,19000,Mirrodin
negator,0.7046569879073968,Aiur,5.1,42000,Zendikar
drone,0.5680502596974487,Eos,8.5,59000,Mirrodin
tank,0.1396578056070047,Eos,8.5,63000,Mirrodin
tank,0.9771746511537847,Gaia,6.7,67000,Mirrodin
zealot,0.22625550931538674,Ravnica,7.3,62000,Dominaria
battleship,0.0009682866414209013,Eos,8.5,1000,Mirrodin
drone,0.20830362358509458,Aiur,5.1,47000,Zendikar
dreadnought,0.9603813698654264,Aiur,5.1,90000,Zendikar
drone,0.7614720772373269,Ravnica,7.3,13000,Dominaria
overlord,0.8006937841578693,Aiur,5.1,45000,Zendikar
scout,0.49765690351359404,Gaia,6.7,97000,Mirrodin
battleship,0.06490635003537493,Ravnica,7.3,48000,Dominaria
mecha,0.27534116800848385,Gaia,6.7,43000,Mirrodin
zealot,0.8962289635121228,Gaia,6.7,98000,Mirrodin
overlord,0.16083053954338944,Korhal,6.7,89000,Zendikar
battleship,0.5870375875572337,Eos,8.5,58000,Mirrodin
negator,0.5703001339896965,Gaia,6.7,30000,Mirrodin
zealot,0.24220648529496336,Eos,8.5,74000,Mirrodin
overlord,0.7010220235825038,Kamigawa,3.4,32000,Dominaria
mecha,0.7868948111690796,Ravnica,7.3,13000,Dominaria
tank,0.18635292533203152,Gaia,6.7,23000,Mirrodin
zealot,0.0975954945648273,Korhal,6.7,11000,Zendikar
tank,0.11782606172427335,Korhal,6.7,45000,Zendikar
dreadnought,0.49813183299039254,Kamigawa,3.4,77000,Dominaria
negator,0.5167981747404329,Kamigawa,3.4,1000,Dominaria
battleship,0.7166271850149343,Ravnica,7.3,69000,Dominaria
zealot,0.02849432854877265,Eos,8.5,53000,Mirrodin
drone,0.047512028418309704,Gaia,6.7,46000,Mirrodin
zealot,0.9114602873263778,Kamigawa,3.4,30000,Dominaria
drone,0.7316462247107668,Kamigawa,3.4,92000,Dominaria
drone,0.3870036107793575,Korhal,6.7,21000,Zendikar
negator,0.6457255765107809,Gaia,6.7,93000,Mirrodin
drone,0.7167971900947753,Korhal,6.7,64000,Zendikar
drone,0.9077023117019154,Korhal,6.7,81000,Zendikar
mecha,0.061961305960211654,Gaia,6.7,15000,Mirrodin
battleship,0.44333800125547296,Ravnica,7.3,33000,Dominaria
zealot,0.34214828402627884,Korhal,6.7,49000,Zendikar
negator,0.48371205002127104,Aiur,5.1,33000,Zendikar
scout,0.04806472007074214,Gaia,6.7,81000,Mirrodin
battleship,0.8378406331324268,Aiur,5.1,9000,Zendikar
negator,0.9059134035518399,Aiur,5.1,65000,Zendikar
drone,0.8702408310802058,Korhal,6.7,46000,Zendikar
drone,0.9425958735441983,Kamigawa,3.4,13000,Dominaria
negator,0.12521635199318626,Aiur,5.1,7000,Zendikar
overlord,0.6646875389950104,Eos,8.5,13000,Mirrodin
dreadnought,0.08198959340808376,Aiur,5.1,68000,Zendikar
battleship,0.42566926872311595,Eos,8.5,90000,Mirrodin
drone,0.9020000603917661,Korhal,6.7,22000,Zendikar
negator,0.7668425010176735,Ravnica,7.3,55000,Dominaria
battleship,0.6786558244501332,Ravnica,7.3,25000,Dominaria
overlord,0.44974329416284364,Gaia,6.7,28000,Mirrodin
drone,0.6020776613135117,Aiur,5.1,86000,Zendikar
dreadnought,0.7134388730870491,Gaia,6.7,40000,Mirrodin
negator,0.4064951391220534,Kamigawa,3.4,11000,Dominaria
zealot,0.11486128316745692,Korhal,6.7,42000,Zendikar
dreadnought,0.6961147424296308,Gaia,6.7,84000,Mirrodin
scout,0.4819942907010898,Korhal,6.7,91000,Zendikar
mecha,0.8701285417063483,Korhal,6.7,83000,Zendikar
mecha,0.2671334465924786,Aiur,5.1,34000,Zendikar
dreadnought,0.8617789841329012,Korhal,6.7,27000,Zendikar
tank,0.5340536315314671,Ravnica,7.3,71000,Dominaria
battleship,0.913689035403071,Kamigawa,3.4,20000,Dominaria
tank,0.31177284945461525,Ravnica,7.3,90000,Dominaria
zealot,0.6867954876829987,Gaia,6.7,62000,Mirrodin
dreadnought,0.23988297228739253,Gaia,6.7,89000,Mirrodin
negator,0.28582945419312034,Aiur,5.1,46000,Zendikar
scout,0.014633373504218339,Eos,8.5,26000,Mirrodin
battleship,0.6253541373329612,Ravnica,7.3,45000,Dominaria
scout,0.6432115063282376,Eos,8.5,11000,Mirrodin
negator,0.340837221050208,Eos,8.5,76000,Mirrodin
mecha,0.2419508939848629,Gaia,6.7,19000,Mirrodin
tank,0.840840878545406,Kamigawa,3.4,75000,Dominaria
scout,0.9913892808604999,Aiur,5.1,48000,Zendikar
battleship,0.6366573262989129,Ravnica,7.3,53000,Dominaria
overlord,0.49157559430071895,Gaia,6.7,40000,Mirrodin
drone,0.9083669451745316,Ravnica,7.3,94000,Dominaria
dreadnought,0.044675062320547854,Kamigawa,3.4,27000,Dominaria
mecha,0.4717687312833734,Eos,8.5,50000,Mirrodin
zealot,0.4700068205954968,Korhal,6.7,79000,Zendikar
scout,0.8893522406282082,Aiur,5.1,74000,Zendikar
mecha,0.0644860296115658,Ravnica,7.3,51000,Dominaria
drone,0.8417554430945238,Korhal,6.7,33000,Zendikar
mecha,0.6577572479025402,Aiur,5.1,72000,Zendikar
dreadnought,0.2507284364219696,Gaia,6.7,40000,Mirrodin
battleship,0.053867286084306354,Korhal,6.7,6000,Zendikar
tank,0.7348604848407684,Kamigawa,3.4,82000,Dominaria
mecha,0.32857482546692285,Korhal,6.7,60000,Zendikar
dreadnought,0.38187997423929665,Aiur,5.1,73000,Zendikar
overlord,0.9760472942894329,Aiur,5.1,76000,Zendikar
negator,0.2458726086650227,Ravnica,7.3,24000,Dominaria
dreadnought,0.3626122195302638,Aiur,5.1,51000,Zendikar
mecha,0.5298774144633679,Ravnica,7.3,13000,Dominaria
dreadnought,0.12140359669888334,Eos,8.5,50000,Mirrodin
drone,0.10843213661225859,Ravnica,7.3,67000,Dominaria
negator,0.5438898139762567,Aiur,5.1,14000,Zendikar
mecha,0.018767684555235475,Ravnica,7.3,81000,Dominaria
tank,0.3398348624491624,Kamigawa,3.4,14000,Dominaria
dreadnought,0.8961461458197885,Ravnica,7.3,12000,Dominaria
tank,0.4195376754581317,Gaia,6.7,91000,Mirrodin
negator,0.10622125072800759,Kamigawa,3.4,24000,Dominaria
scout,0.6010713567671161,Kamigawa,3.4,35000,Dominaria
overlord,0.8317262407720806,Gaia,6.7,31000,Mirrodin
battleship,0.35621743452780774,Eos,8.5,3000,Mirrodin
mecha,0.06943518092306422,Kamigawa,3.4,31000,Dominaria
tank,0.12384003861224524,Korhal,6.7,49000,Zendikar
dreadnought,0.5144154850249429,Aiur,5.1,6000,Zendikar
scout,0.5398989053492851,Aiur,5.1,55000,Zendikar
scout,0.6416639994049196,Aiur,5.1,61000,Zendikar
drone,0.8212488070351108,Aiur,5.1,17000,Zendikar
negator,0.39574456998689334,Gaia,6.7,83000,Mirrodin
drone,0.7492546135002949,Kamigawa,3.4,25000,Dominaria
mecha,0.14803794329699838,Aiur,5.1,55000,Zendikar
zealot,0.3849690264633756,Korhal,6.7,69000,Zendikar
drone,0.9490054629145965,Gaia,6.7,58000,Mirrodin
scout,0.6822276898506517,Ravnica,7.3,16000,Dominaria
zealot,0.07055733925178265,Kamigawa,3.4,63000,Dominaria
scout,0.6581616433171538,Gaia,6.7,39000,Mirrodin
overlord,0.2675708068989877,Kamigawa,3.4,86000,Dominaria
zealot,0.9713469764355268,Eos,8.5,25000,Mirrodin
zealot,0.5631536565966392,Eos,8.5,63000,Mirrodin
zealot,0.4686210669771391,Korhal,6.7,89000,Zendikar
dreadnought,0.26310387209187547,Ravnica,7.3,57000,Dominaria
tank,0.6015269073952019,Gaia,6.7,30000,Mirrodin
overlord,0.5673679854557423,Gaia,6.7,45000,Mirrodin
scout,0.13671304849861754,Kamigawa,3.4,74000,Dominaria
tank,0.624876609948396,Eos,8.5,85000,Mirrodin
overlord,0.4176150390639579,Korhal,6.7,67000,Zendikar
battleship,0.3788229100317323,Korhal,6.7,4000,Zendikar
drone,0.6591461043068344,Eos,8.5,3000,Mirrodin
overlord,0.42848092023973083,Korhal,6.7,20000,Zendikar
negator,0.9984207786443551,Eos,8.5,73000,Mirrodin
mecha,0.5567348351220792,Kamigawa,3.4,27000,Dominaria
dreadnought,0.843844005233482,Kamigawa,3.4,62000,Dominaria
tank,0.42644127462628256,Aiur,5.1,76000,Zendikar
drone,0.5038988915911047,Kamigawa,3.4,38000,Dominaria
drone,0.7742553374177354,Ravnica,7.3,6000,Dominaria
drone,0.7385167736064585,Korhal,6.7,64000,Zendikar
overlord,0.9708848354069517,Gaia,6.7,13000,Mirrodin
overlord,0.5484458647688145,Korhal,6.7,37000,Zendikar
scout,0.43570528984353485,Eos,8.5,64000,Mirrodin
dreadnought,0.6056645153525246,Kamigawa,3.4,95000,Dominaria
scout,0.18275471282440958,Korhal,6.7,26000,Zendikar
battleship,0.6189652403931338,Gaia,6.7,35000,Mirrodin
tank,0.404867225556502,Eos,8.5,67000,Mirrodin
zealot,0.560406427689837,Korhal,6.7,97000,Zendikar
tank,0.4708798611356606,Aiur,5.1,62000,Zendikar
overlord,0.4776591503419614,Gaia,6.7,25000,Mirrodin
mecha,0.9616869521198479,Ravnica,7.3,13000,Dominaria
tank,0.47635414034628043,Gaia,6.7,63000,Mirrodin
dreadnought,0.494849393739057,Korhal,6.7,59000,Zendikar
zealot,0.2624835571851004,Gaia,6.7,39000,Mirrodin
zealot,0.7632220286240927,Gaia,6.7,72000,Mirrodin
drone,0.17203106619891584,Kamigawa,3.4,29000,Dominaria
battleship,0.34457791281301786,Korhal,6.7,22000,Zendikar
dreadnought,0.34705308623551767,Gaia,6.7,39000,Mirrodin
negator,0.4187968566256629,Korhal,6.7,67000,Zendikar
dreadnought,0.37261879295468137,Gaia,6.7,80000,Mirrodin
mecha,0.05191587658353336,Korhal,6.7,34000,Zendikar
mecha,0.16923917247131948,Gaia,6.7,82000,Mirrodin
mecha,0.875271966280278,Kamigawa,3.4,82000,Dominaria
battleship,0.8511825344583878,Ravnica,7.3,20000,Dominaria
scout,0.8786077332514196,Korhal,6.7,74000,Zendikar
drone,0.7415256863596423,Gaia,6.7,51000,Mirrodin
mecha,0.9885062110578617,Gaia,6.7,11000,Mirrodin
negator,0.1579336567513635,Kamigawa,3.4,55000,Dominaria
negator,0.15485697481700955,Ravnica,7.3,87000,Dominaria
scout,0.9525328599483093,Eos,8.5,9000,Mirrodin
dreadnought,0.5362006621107147,Eos,8.5,57000,Mirrodin
battleship,0.07928636126192956,Eos,8.5,46000,Mirrodin
tank,0.19038574478891235,Kamigawa,3.4,15000,Dominaria
tank,0.9940718360154007,Kamigawa,3.4,3000,Dominaria
scout,0.8606258256046128,Ravnica,7.3,74000,Dominaria
drone,0.06983720436262608,Ravnica,7.3,89000,Dominaria
tank,0.6794054554246208,Eos,8.5,23000,Mirrodin
drone,0.486236956759051,Aiur,5.1,92000,Zendikar
negator,0.09115849518510866,Ravnica,7.3,92000,Dominaria
negator,0.7167252426366336,Kamigawa,3.4,4000,Dominaria
zealot,0.36696947108701083,Gaia,6.7,57000,Mirrodin
overlord,0.30867725518610045,Aiur,5.1,18000,Zendikar
mecha,0.2102467116921929,Gaia,6.7,23000,Mirrodin
drone,0.9918222459181596,Aiur,5.1,84000,Zendikar
mecha,0.827990007764341,Eos,8.5,81000,Mirrodin
battleship,0.4447241174778731,Eos,8.5,11000,Mirrodin
negator,0.6554806179858692,Ravnica,7.3,2000,Dominaria
negator,0.47337103596382524,Ravnica,7.3,55000,Dominaria
negator,0.5248896561421755,Gaia,6.7,64000,Mirrodin
battleship,0.12128448706420503,Gaia,6.7,98000,Mirrodin
tank,0.651727488844677,Kamigawa,3.4,45000,Dominaria
dreadnought,0.6595371633337719,Kamigawa,3.4,57000,Dominaria
scout,0.34176442987433286,Korhal,6.7,18000,Zendikar
mecha,0.3950530024611667,Kamigawa,3.4,71000,Dominaria
battleship,0.5459205647378037,Eos,8.5,81000,Mirrodin
overlord,0.10389941343645093,Eos,8.5,81000,Mirrodin
mecha,0.23753928397967938,Korhal,6.7,43000,Zendikar
tank,0.7500281589053115,Kamigawa,3.4,63000,Dominaria
scout,0.46223098389956063,Kamigawa,3.4,16000,Dominaria
drone,0.546178858652824,Aiur,5.1,59000,Zendikar
zealot,0.5252245959807491,Ravnica,7.3,13000,Dominaria
scout,0.836447578050136,Aiur,5.1,53000,Zendikar
dreadnought,0.9574084994384804,Ravnica,7.3,19000,Dominaria
overlord,0.10024372574267293,Kamigawa,3.4,20000,Dominaria
dreadnought,0.27952624095468714,Korhal,6.7,17000,Zendikar
scout,0.7850173769692145,Gaia,6.7,20000,Mirrodin
drone,0.15782364281609218,Aiur,5.1,35000,Zendikar
tank,0.12481629947874984,Gaia,6.7,70000,Mirrodin
dreadnought,0.6137845774003872,Kamigawa,3.4,72000,Dominaria
negator,0.36621948512871516,Korhal,6.7,3000,Zendikar
zealot,0.008468338264526976,Kamigawa,3.4,26000,Dominaria
mecha,0.7138532463504519,Gaia,6.7,83000,Mirrodin
mecha,0.9022249289662676,Aiur,5.1,88000,Zendikar
mecha,0.9561070552324958,Aiur,5.1,78000,Zendikar
dreadnought,0.23208653638945198,Kamigawa,3.4,85000,Dominaria
battleship,0.46775607478527104,Kamigawa,3.4,25000,Dominaria
tank,0.16264946280351567,Kamigawa,3.4,51000,Dominaria
mecha,0.8182002265911623,Kamigawa,3.4,60000,Dominaria
dreadnought,0.5182811134881948,Korhal,6.7,72000,Zendikar
zealot,0.538025933591115,Aiur,5.1,20000,Zendikar
battleship,0.57754931999055,Kamigawa,3.4,80000,Dominaria
negator,0.19218313143517252,Eos,8.5,15000,Mirrodin
dreadnought,0.12422672863617512,Ravnica,7.3,76000,Dominaria
negator,0.30200880441636113,Ravnica,7.3,39000,Dominaria
zealot,0.11884710416783129,Ravnica,7.3,8000,Dominaria
zealot,0.020870546649879196,Eos,8.5,38000,Mirrodin
negator,0.22972744940148382,Aiur,5.1,48000,Zendikar
overlord,0.9125954842625359,Ravnica,7.3,20000,Dominaria
overlord,0.13282493071676071,Gaia,6.7,40000,Mirrodin
negator,0.7820447086838066,Korhal,6.7,3000,Zendikar
zealot,0.5496737872871277,Eos,8.5,71000,Mirrodin
drone,0.8570958870186519,Aiur,5.1,12000,Zendikar
mecha,0.6254871938574434,Korhal,6.7,26000,Zendikar
scout,0.1196970354485426,Ravnica,7.3,62000,Dominaria
zealot,0.45783893906111006,Korhal,6.7,95000,Zendikar
negator,0.23363579243794685,Aiur,5.1,74000,Zendikar
zealot,0.24433323317236,Gaia,6.7,45000,Mirrodin
drone,0.4062405305303006,Kamigawa,3.4,91000,Dominaria
overlord,0.805847749445805,Eos,8.5,38000,Mirrodin
negator,0.6614094953707764,Kamigawa,3.4,56000,Dominaria
dreadnought,0.06067747552940639,Kamigawa,3.4,22000,Dominaria
overlord,0.5885250930499875,Korhal,6.7,53000,Zendikar
drone,0.33463669622131786,Korhal,6.7,68000,Zendikar
dreadnought,0.6522171026219882,Aiur,5.1,97000,Zendikar
dreadnought,0.12283148741351912,Gaia,6.7,86000,Mirrodin
zealot,0.47221144835673023,Korhal,6.7,63000,Zendikar
tank,0.5151283326680038,Gaia,6.7,91000,Mirrodin
mecha,0.15707786715185312,Aiur,5.1,40000,Zendikar
dreadnought,0.5374525530292144,Ravnica,7.3,34000,Dominaria
drone,0.7583200839819116,Gaia,6.7,74000,Mirrodin
battleship,0.7342091629487331,Aiur,5.1,57000,Zendikar
zealot,0.678096294381452,Ravnica,7.3,75000,Dominaria
negator,0.7828576861129954,Kamigawa,3.4,12000,Dominaria
dreadnought,0.2352972849213879,Aiur,5.1,25000,Zendikar
zealot,0.8316291463589344,Aiur,5.1,18000,Zendikar
negator,0.21057294564284734,Gaia,6.7,92000,Mirrodin
overlord,0.4475536230415399,Kamigawa,3.4,14000,Dominaria
negator,0.28143591415146085,Kamigawa,3.4,60000,Dominaria
scout,0.1531915160601668,Ravnica,7.3,11000,Dominaria
tank,0.865927416272294,Aiur,5.1,40000,Zendikar
scout,0.19138753270928388,Korhal,6.7,74000,Zendikar
dreadnought,0.47210506615830317,Kamigawa,3.4,59000,Dominaria
zealot,0.607964935426193,Gaia,6.7,96000,Mirrodin
scout,0.6475137986969193,Kamigawa,3.4,18000,Dominaria
zealot,0.8501581566840478,Korhal,6.7,10000,Zendikar
scout,0.893028871296479,Aiur,5.1,30000,Zendikar
zealot,0.6699856784037865,Gaia,6.7,76000,Mirrodin
zealot,0.5152988367758137,Gaia,6.7,9000,Mirrodin
drone,0.407645831366795,Aiur,5.1,91000,Zendikar
tank,0.16584932911564199,Ravnica,7.3,3000,Dominaria
scout,0.22270669250579067,Gaia,6.7,64000,Mirrodin
mecha,0.21073407389718335,Kamigawa,3.4,42000,Dominaria
scout,0.12164326972488615,Korhal,6.7,73000,Zendikar
zealot,0.4989336645014537,Korhal,6.7,50000,Zendikar
dreadnought,0.6059771577490295,Eos,8.5,79000,Mirrodin
zealot,0.7229966424100902,Gaia,6.7,15000,Mirrodin
dreadnought,0.6105117232938737,Aiur,5.1,58000,Zendikar
tank,0.6891392668148454,Aiur,5.1,84000,Zendikar
mecha,0.6668140966794249,Eos,8.5,22000,Mirrodin
overlord,0.4961071320978846,Korhal,6.7,65000,Zendikar
overlord,0.9189637930571711,Korhal,6.7,92000,Zendikar
negator,0.7557510767599293,Korhal,6.7,49000,Zendikar
dreadnought,0.2707996593617925,Ravnica,7.3,15000,Dominaria
tank,0.09284145434189783,Aiur,5.1,47000,Zendikar
scout,0.33018248811997475,Korhal,6.7,12000,Zendikar
scout,0.4808196249147608,Aiur,5.1,49000,Zendikar
overlord,0.3208479625788505,Ravnica,7.3,88000,Dominaria
drone,0.8296195024914583,Eos,8.5,18000,Mirrodin
mecha,0.007692054944095084,Gaia,6.7,71000,Mirrodin
negator,0.24668559578366434,Gaia,6.7,82000,Mirrodin
scout,0.7890825641142118,Eos,8.5,36000,Mirrodin
mecha,0.6388933514726259,Korhal,6.7,86000,Zendikar
drone,0.72433366727262,Korhal,6.7,98000,Zendikar
battleship,0.7308092172194567,Aiur,5.1,33000,Zendikar
drone,0.3436542657805074,Korhal,6.7,51000,Zendikar
tank,0.46370063443071086,Korhal,6.7,67000,Zendikar
tank,0.2941656228994991,Gaia,6.7,97000,Mirrodin
scout,0.5603735556150699,Aiur,5.1,66000,Zendikar
zealot,0.8257757256848105,Aiur,5.1,10000,Zendikar
overlord,0.6552318168598232,Eos,8.5,92000,Mirrodin
overlord,0.18036118160852754,Gaia,6.7,59000,Mirrodin
negator,0.9664620957538443,Kamigawa,3.4,12000,Dominaria
dreadnought,0.4183208687323213,Eos,8.5,83000,Mirrodin
dreadnought,0.7434999092808158,Korhal,6.7,79000,Zendikar
drone,0.929705101767015,Ravnica,7.3,76000,Dominaria
zealot,0.054740371516464825,Eos,8.5,94000,Mirrodin
negator,0.5195420380133686,Eos,8.5,83000,Mirrodin
negator,0.5407397104705858,Korhal,6.7,35000,Zendikar
negator,0.663418607401359,Aiur,5.1,23000,Zendikar
tank,0.14460957172773425,Eos,8.5,61000,Mirrodin
battleship,0.09620082657778295,Aiur,5.1,64000,Zendikar
tank,0.532481320874131,Kamigawa,3.4,25000,Dominaria
drone,0.7058745195149901,Gaia,6.7,38000,Mirrodin
mecha,0.43939616036906815,Kamigawa,3.4,74000,Dominaria
tank,0.8682139353802667,Kamigawa,3.4,57000,Dominaria
battleship,0.5953809493968613,Kamigawa,3.4,49000,Dominaria
zealot,0.6512329270619144,Ravnica,7.3,61000,Dominaria
tank,0.917543765105043,Kamigawa,3.4,63000,Dominaria
drone,0.5528879289626535,Eos,8.5,57000,Mirrodin
negator,0.3133645112418738,Korhal,6.7,4000,Zendikar
zealot,0.940154228133846,Ravnica,7.3,18000,Dominaria
battleship,0.43785172236251835,Eos,8.5,49000,Mirrodin
scout,0.7193645245985681,Gaia,6.7,39000,Mirrodin
dreadnought,0.6230946031435362,Aiur,5.1,7000,Zendikar
negator,0.5673952781840779,Aiur,5.1,31000,Zendikar
tank,0.006224083405189096,Gaia,6.7,98000,Mirrodin
mecha,0.8287858527387661,Korhal,6.7,43000,Zendikar
drone,0.04658936136925218,Kamigawa,3.4,83000,Dominaria
tank,0.335907169499545,Korhal,6.7,76000,Zendikar
overlord,0.9444372594854392,Aiur,5.1,15000,Zendikar
scout,0.13530278866716128,Aiur,5.1,62000,Zendikar
tank,0.9526866935325754,Gaia,6.7,23000,Mirrodin
tank,0.09573640769322966,Gaia,6.7,75000,Mirrodin
scout,0.5205669357847069,Ravnica,7.3,68000,Dominaria
overlord,0.12397066130405565,Korhal,6.7,27000,Zendikar
dreadnought,0.2737787947983179,Kamigawa,3.4,49000,Dominaria
drone,0.42014056195495353,Ravnica,7.3,79000,Dominaria
negator,0.456115581262313,Aiur,5.1,30000,Zendikar
tank,0.8243789209284235,Gaia,6.7,88000,Mirrodin
drone,0.1382708375553109,Eos,8.5,94000,Mirrodin
battleship,0.9106633193563998,Korhal,6.7,16000,Zendikar
negator,0.7558092337254582,Aiur,5.1,97000,Zendikar
negator,0.7387712757924978,Ravnica,7.3,87000,Dominaria
zealot,0.05996480476497301,Kamigawa,3.4,80000,Dominaria
mecha,0.30175132349900824,Korhal,6.7,40000,Zendikar
negator,0.07312999352270211,Eos,8.5,14000,Mirrodin
drone,0.4938400726247322,Gaia,6.7,47000,Mirrodin
negator,0.5292364803458965,Ravnica,7.3,77000,Dominaria
scout,0.7716445126017693,Korhal,6.7,4000,Zendikar
tank,0.10557458996497937,Kamigawa,3.4,66000,Dominaria
zealot,0.0993163276464063,Eos,8.5,26000,Mirrodin
drone,0.019447288571393884,Ravnica,7.3,74000,Dominaria
zealot,0.7121226638174415,Gaia,6.7,66000,Mirrodin
mecha,0.5303427343105869,Gaia,6.7,61000,Mirrodin
scout,0.818049868666586,Kamigawa,3.4,71000,Dominaria
mecha,0.7663992872194785,Kamigawa,3.4,15000,Dominaria
tank,0.7970074106284352,Kamigawa,3.4,40000,Dominaria
tank,0.21077009784519418,Ravnica,7.3,20000,Dominaria
negator,0.2560787097032291,Korhal,6.7,32000,Zendikar
scout,0.4175426759850893,Aiur,5.1,62000,Zendikar
overlord,0.9376627975554148,Aiur,5.1,32000,Zendikar
battleship,0.41079449206646335,Kamigawa,3.4,94000,Dominaria
drone,0.4748253404506676,Ravnica,7.3,23000,Dominaria
zealot,0.8052787702785252,Gaia,6.7,15000,Mirrodin
drone,0.2951882867608594,Eos,8.5,8000,Mirrodin
dreadnought,0.3691574201322635,Kamigawa,3.4,50000,Dominaria
scout,0.33610781696483905,Ravnica,7.3,45000,Dominaria
scout,0.39485940234657024,Eos,8.5,47000,Mirrodin
drone,0.9639225778500367,Gaia,6.7,89000,Mirrodin
mecha,0.9513314602405628,Eos,8.5,57000,Mirrodin
